Epoch,Loss,EpochTime,Hits@1,Hits@10,Hits@30,Hits@50,MRR,memory,infer_time
50,2.361547558393795e-05,0.0363,0.0872,0.2642,0.4095,0.4944,0.1523,2.0266,0.0601
100,3.994151848019101e-05,0.0364,0.1598,0.3659,0.4911,0.5637,0.2307,2.0266,0.0602
150,4.686193642555736e-05,0.0362,0.2162,0.4475,0.5676,0.633,0.2965,2.0266,0.0599
200,4.999174416298047e-05,0.0367,0.2777,0.5302,0.6385,0.6888,0.3624,2.0266,0.0604
